brand_name,carname,carImg,saleVolume, price,manufacturer,rank,carModel, energyType,marketTime,insure
特斯拉,Model Y,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6180aeadc5934c81906060f03bc651ff~tplv-resize:640:0.png,60055,"[25.89, 36.39]",特斯拉中国,1,中型SUV,纯电动,2023.10,4年或8万公里
日产,轩逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f5483079e6094fb898c14f3b3d6c1493~tplv-resize:640:0.png,48385,"[7.36, 14.79]",东风日产,2,紧凑型车,汽油,2024.01,3年或10万公里
比亚迪,海鸥,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fc1c09863a48441d86e99c757790ab02~tplv-resize:640:0.png,41012,"[7.38, 8.78]",比亚迪,3,小型车,纯电动,2023.04,6年或15万公里
大众,朗逸,https://p9-dcd.byteimg.com/img/motor-mis-img/28d677a5f94a5a24103f088dd94c8515~tplv-resize:640:0.png,38760,"[7.99, 12.39]",上汽大众,4,紧凑型车,汽油,2023.09,3年或10万公里
大众,速腾,https://p3-dcd.byteimg.com/img/motor-mis-img/44c013067df2032cc03b6031eb68bf05~tplv-resize:640:0.png,34920,"[9.19, 13.79]",一汽-大众,5,紧凑型车,汽油,2022.06,3年或10万公里
比亚迪,元PLUS,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/0a5a6f5f1e4e417f823a51d894fa7345~tplv-resize:640:0.png,30799,"[13.28, 16.1]",比亚迪,6,紧凑型SUV,纯电动,2023.09,6年或15万公里
比亚迪,宋PLUS DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f9d266bdf7d44b418eee09141be33ec0~tplv-resize:640:0.png,30525,"[12.98, 19.38]",比亚迪,7,紧凑型SUV,插电式混合动力,2023.06,6年或15万公里
比亚迪,秦PLUS DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b16feb96960c4b178686faea93e71f3c~tplv-resize:640:0.png,27956,"[8.98, 13.58]",比亚迪,8,紧凑型车,插电式混合动力,2023.02,6年或15万公里
大众,迈腾,https://p3-dcd.byteimg.com/img/motor-mis-img/89991e9322440768e5f67b551d6e7ee5~tplv-resize:640:0.png,27826,"[14.99, 21.69]",一汽-大众,9,中型车,汽油,2022.10,3年或10万公里
比亚迪,宋Pro DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/91291cb770c44932a3f6c14feedc82b3~tplv-resize:640:0.png,27812,"[12.18, 14.98]",比亚迪,10,紧凑型SUV,插电式混合动力,2023.09,6年或15万公里
五菱汽车,五菱缤果,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c316a4720f1f48da80b558c02a32b01c~tplv-resize:640:0.png,27458,"[5.78, 8.88]",上汽通用五菱,11,小型车,纯电动,2023.03,3年或10万公里
比亚迪,海豚,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/146c59167c394ddb9e61d3ec6315c2c8~tplv-resize:640:0.png,26814,"[10.98, 13.28]",比亚迪,12,小型车,纯电动,2022.12,6年或15万公里
本田,本田CR-V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc20bec323e9460e862ac2b30b0f9991~tplv-resize:640:0.png,26354,"[15.79, 23.39]",东风本田,13,紧凑型SUV,汽油,2022.09,3年或10万公里
丰田,RAV4荣放,https://p3-dcd.byteimg.com/img/motor-mis-img/d1ac1817fbc495d355e029a8b10c68f8~tplv-resize:640:0.png,25990,"[13.88, 22.58]",一汽丰田,14,紧凑型SUV,汽油,2023.04,3年或10万公里
AITO,问界M7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ec234ea1f5a64f9b940ac268fa562ec4~tplv-resize:640:0.png,25545,"[24.98, 37.98]",赛力斯汽车,15,中大型SUV,增程式,2023.09,4年或10万公里
五菱汽车,五菱宏光MINIEV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/287e133f10e1402386d901c399885fbf~tplv-resize:640:0.png,25015,"[2.98, 9.99]",上汽通用五菱,16,微型车,纯电动,2023.11,3年或10万公里
大众,帕萨特,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9ddb9ea9b9047029212858b14caba31~tplv-resize:640:0.png,24559,"[14.89, 22.19]",上汽大众,17,中型车,汽油,2023.10,3年或10万公里
丰田,凯美瑞,https://p3-dcd.byteimg.com/img/motor-mis-img/46a9db48bccc28d5a4aadcbcf9b5df96~tplv-resize:640:0.png,22688,"[14.18, 23.18]",广汽丰田,18,中型车,汽油,2023.03,3年或10万公里
埃安,AION Y,https://p9-dcd.byteimg.com/img/motor-mis-img/a4dcf08d322941eb5259fbcb35ead82e~tplv-resize:640:0.png,22678,"[10.98, 14.38]",广汽埃安新能源,19,紧凑型SUV,纯电动,2023.03,4年或15万公里
本田,雅阁,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/01ea2955a1cb44ff8f048e3deabf2c17~tplv-resize:640:0.png,22661,"[13.78, 22.18]",广汽本田,20,中型车,汽油,2023.05,3年或10万公里
长安,长安CS75 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/dec41a8d4fcc422bbb34c1a71dd76a1d~tplv-resize:640:0.png,21872,"[9.79, 13.99]",长安汽车,21,紧凑型SUV,汽油,2023.04,3年或10万公里
哈弗,哈弗H6,https://p9-dcd.byteimg.com/img/motor-mis-img/418e967314e8e89e55e3b3b359377177~tplv-resize:640:0.png,21430,"[8.39, 13.48]",长城汽车,22,紧凑型SUV,汽油,2023.04,3年或10万公里
奥迪,奥迪A6L,https://p9-dcd.byteimg.com/img/motor-mis-img/f8250b5672059b6380b04eeeb0d7fe33~tplv-resize:640:0.png,21411,"[36, 58.45]",一汽-大众奥迪,23,中大型车,汽油,2023.10,3年或10万公里
大众,途观L,https://p3-dcd.byteimg.com/img/motor-mis-img/8201ed0a4daa11da0ecfc31209187bde~tplv-resize:640:0.png,20589,"[16.37, 22.58]",上汽大众,24,中型SUV,汽油,2023.11,3年或10万公里
理想汽车,理想L7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d17549a2151349bb92d57dfdb7ce2374~tplv-resize:640:0.png,20428,"[31.98, 37.98]",理想汽车,25,中大型SUV,增程式,2023.02,5年或10万公里
奔驰,奔驰C级,https://p3-dcd.byteimg.com/img/motor-mis-img/fd1771f592228d51d414ac0e5fa2469c~tplv-resize:640:0.png,19418,"[23.52, 29.74]",北京奔驰,26,中型车,48V轻混系统,2023.10,3年不限公里
本田,皓影,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9886d3b902964d73a5284eeee4f1cfa8~tplv-resize:640:0.png,19114,"[14.69, 23.39]",广汽本田,27,紧凑型SUV,油电混合,2024.01,3年或10万公里
奥迪,奥迪Q5L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67161a339e5c4639bdcfc59d4b67efc9~tplv-resize:640:0.png,17932,"[31.8, 39.59]",一汽-大众奥迪,28,中型SUV,汽油,2023.10,3年或10万公里
丰田,锋兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2e716928f981407b80c5e8772b8141a2~tplv-resize:640:0.png,17589,"[9.78, 15.68]",广汽丰田,29,紧凑型SUV,汽油,2023.03,3年或10万公里
日产,逍客,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/74a5e843ff5340aea475757a258d43bb~tplv-resize:640:0.png,17520,"[11.09, 16.99]",东风日产,30,紧凑型SUV,汽油,2023.08,3年或10万公里
奇瑞,瑞虎8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/734a4fbac7cf461293613d4f1a478e5b~tplv-resize:640:0.png,16765,"[8.58, 15.09]",奇瑞汽车,31,中型SUV,汽油,2023.10,3年或10万公里
丰田,卡罗拉锐放,https://p9-dcd.byteimg.com/img/motor-mis-img/58d617d55bda2d2a8aeb9b9d0e8ca823~tplv-resize:640:0.png,15955,"[10.58, 16.08]",一汽丰田,32,紧凑型SUV,汽油,2023.05,3年或10万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/25d4d4c6e46f4f078d75e768fabd7f0e~tplv-resize:640:0.png,15750,"[24.59, 28.59]",特斯拉中国,33,中型车,纯电动,2023.09,4年或8万公里
本田,型格,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc48ceffe1394c528b45bb3a5042f890~tplv-resize:640:0.png,15361,"[10.29, 15.99]",广汽本田,34,紧凑型车,汽油,2023.02,3年或10万公里
埃安,AION S,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f767ea64a42944a9ad5aa01b05b45965~tplv-resize:640:0.png,15216,"[11.98, 19.29]",广汽埃安新能源,35,紧凑型车,纯电动,2023.10,4年或15万公里
理想汽车,理想L8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/df46af6b3ad1439f83d4448cfb729918~tplv-resize:640:0.png,15013,"[33.98, 39.98]",理想汽车,36,中大型SUV,增程式,2023.02,5年或10万公里
理想汽车,理想L9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4f056cfb109c43308e929851d8764605~tplv-resize:640:0.png,14913,"[42.98, 45.98]",理想汽车,37,大型SUV,增程式,2023.08,5年或10万公里
红旗,红旗H5,https://p3-dcd.byteimg.com/img/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png,14674,"[14.98, 21.57]",一汽红旗,38,中型车,汽油,2023.08,4年或10万公里
